Unique ID,Name,Address,Type,Capacity,LAT,LONG,County,Address,City,State,Zip,MailingAddress,MailingCity,MailingState,MailingZip,Phone,Operation_Months,Operation_Days,Hours_Open,Hours_Close,Infant_0_To_12mos,Toddler_13mos_To_2yrs,Preschool_3yrs_To_4yrs,Pre_K_Served,School_Age_5yrs_Plus,Ages_Other_Than_Pre_K_Served,Accepts_Child_Care_Subsidy,Has_Evening_Care,Has_Drop_In_Care,Has_School_Age_Summer_Care,Has_Transport_ToFrom_School,Has_Transport_ToFrom_Home,Has_Cacfp,Accreditation_Status,Provider_Type,Exemption_Category,Available_PreK_Slots,Funded_PreK_Slots,QR_Participant,QR_Rated,QR_Rating
CCLC-10791,Toddler Town,"1924 Wilson Avenue, Brunswick, GA",Child Care Learning Center,25,31.1595734,-81.480954,Glynn,1924 Wilson Avenue,Brunswick,GA,31520,1924 Wilson Avenue,Brunswick,GA,,(912) 264-8128,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:30 AM,7:00 PM,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,CCLC,,N/A,,FALSE,FALSE,
CCLC-10792,Bright Horizons Little One Center,"1300 East 66th Street, Savannah, GA",Child Care Learning Center,84,32.0279199,-81.0870076,Chatham,1300 East 66th Street,Savannah,GA,31404,1300 East 66th Street,Savannah,GA,31404,(912) 303-0668,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,7:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NAEYC,CCLC,,2,22,TRUE,TRUE,1
CCLC-1081,Lanette L. Suttles Child Development Center,"30 Courtland St  SE; Alumni Hall  G-17, Atlanta, GA",Child Care Learning Center,156,33.7536517,-84.3848574,Fulton,30 Courtland St  SE; Alumni Hall  G-17,Atlanta,GA,30303,30 Courtland St  SE; Alumni Hall  G-17,Atlanta,GA,30303,(404) 413-8460,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:30 AM,6:00 PM,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NAEYC,CCLC,,22,22,TRUE,TRUE,3
CCLC-10823,YMCA Prime Time at Cooper Elementary,"555 Ozora Road, Loganville, GA",Child Care Learning Center,50,33.890913,-83.912884,Gwinnett,555 Ozora Road,Loganville,GA,30052,555 Ozora Road,Loganville,GA,30052,(770) 554-7050,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,CCLC,,N/A,,TRUE,FALSE,
CCLC-1083,Giggles,"513 Industrial Drive, Sandersville, GA",Child Care Learning Center,95,32.9663516,-82.7999667,Washington,513 Industrial Drive,Sandersville,GA,31082,P. O. Box 5996   513 Industrial Drive,Sandersville,GA,31082,(478) 553-1555,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,11:30 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,CCLC,,N/A,,TRUE,FALSE,
CCLC-1085,Kids 'R Kids #18,"4780 Morton Road, Johns Creek, GA",Child Care Learning Center,239,34.0414123,-84.2227337,Fulton,4780 Morton Road,Johns Creek,GA,30022,4780 Morton Road,Johns Creek,GA,30022,(770) 751-3900,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:00 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,SACS,CCLC,,44,44,FALSE,FALSE,
CCLC-10998,PRECOCIOUS KIDS  LLC,"214 MARIETTA STREET, Alpharetta, GA",Child Care Learning Center,25,34.0725704,-84.3017963,Fulton,214 MARIETTA STREET,Alpharetta,GA,30004,214 Marietta st,Alpharetta,GA,30009,(770) 569-2283,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,6:30 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,CCLC,,N/A,,TRUE,FALSE,
CCLC-11071,Jackson After School,"1325 Mt. Paran Road, Atlanta, GA",Child Care Learning Center,309,33.873375,-84.4228205,Fulton,1325 Mt. Paran Road,Atlanta,GA,30327,5075 Hampton's Club Drive,Alpharetta,GA,30004,(404) 433-6126,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,2:00 PM,6:00 PM,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,COA,CCLC,,N/A,,TRUE,FALSE,
CCLC-11072,Kids Time Academy,"9562 Bells Ferry Road, Canton, GA",Child Care Learning Center,246,34.1837284,-84.5440875,Cherokee,9562 Bells Ferry Road,Canton,GA,30114,9562 Bells Ferry Road,Canton,GA,30114,(770) 345-0636,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:00 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,SACS,CCLC,,7,66,TRUE,FALSE,
CCLC-11077,Goddard School  The,"12665 Crabapple Road, Alpharetta, GA",Child Care Learning Center,153,34.0892346,-84.3411819,Fulton,12665 Crabapple Road,Alpharetta,GA,30004,12665 Crabapple Road,Alpharetta,GA,30004,(678) 366-6161,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:45 AM,6:15 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,CCLC,,N/A,,TRUE,FALSE,
CCLC-1114,Growing Room CDC,"1200 Manchester Expressway, Columbus, GA",Child Care Learning Center,277,32.506455,-84.9756182,Muscogee,1200 Manchester Expressway,Columbus,GA,31904,PO Box 4216,Columbus,GA,31914-0126,(706) 596-1234,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,5:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,CCLC,,66,66,TRUE,FALSE,
CCLC-11149,Thomasville Community Resource Center,"501 Varnedoe St, Thomasville, GA",Child Care Learning Center,79,30.816513,-83.988386,Thomas,501 Varnedoe St,Thomasville,GA,31792,P. O. BOX  1897,Thomasville,GA,31799,(229) 226-5846,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:30 AM,6:30 PM,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,CCLC,,N/A,,TRUE,FALSE,
CCLC-1115,Growing Room Too,"6110 Bradley Park Drive, Columbus, GA",Child Care Learning Center,195,32.5318901,-84.9637,Muscogee,6110 Bradley Park Drive,Columbus,GA,31904,PO Box 4216,Columbus,GA,31914-0126,(706) 653-0088,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,CCLC,,22,22,TRUE,TRUE,1
CCLC-11174,St Thomas Day School,"2100 Hilton Avenue, Columbus, GA",Child Care Learning Center,90,32.4820501,-84.9540356,Muscogee,2100 Hilton Avenue,Columbus,GA,31906,2100 Hilton Avenue,Columbus,GA,31906,(706) 324-1268,JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,9:00 AM,1:00 AM,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,CCLC,,N/A,,TRUE,FALSE,
CCLC-112,YMCA Childcare Plus,"6400 Habersham St., Savannah, GA",Child Care Learning Center,236,32.0153667,-81.1096722,Chatham,6400 Habersham St.,Savannah,GA,31405,6400 Habersham St.,Savannah,GA,31405,(912) 354-5480,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,6:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,CCLC,,44,44,TRUE,FALSE,
CCLC-11231,Fairview Preschool Center,"2913 Reese Road, Columbus, GA",Child Care Learning Center,85,32.4960099,-84.9130387,Muscogee,2913 Reese Road,Columbus,GA,31907,,,AL,,(706) 561-3030,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:00 PM,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,CCLC,,N/A,,FALSE,FALSE,
CCLC-11247,Country Loving Child Development Center,"134 Johnson Drive, Sylvania, GA",Child Care Learning Center,73,32.7352435,-81.6200289,Screven,134 Johnson Drive,Sylvania,GA,30467,134 Johnson Drive,Sylvania,GA,30467,(912) 564-5875,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,7:15 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,CCLC,,N/A,,TRUE,FALSE,
CCLC-1126,Mountain Park Academy & Learning Center,"1250 Old Tucker Road, Stone Mountain, GA",Child Care Learning Center,188,33.8423455,-84.1331657,Gwinnett,1250 Old Tucker Road,Stone Mountain,GA,30087,1250 Old Tucker Road,Stone Mountain,GA,30087,(770) 279-7700,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:00 AM,6:30 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,CCLC,,N/A,,TRUE,FALSE,
CCLC-11267,Mt. Zion Childcare and Learning Center,"7665 Mt. Zion Blvd., Jonesboro, GA",Child Care Learning Center,222,33.5460176,-84.3385112,Clayton,7665 Mt. Zion Blvd.,Jonesboro,GA,30236,7665 Mt. Zion Blvd.,Jonesboro,GA,30236,(770) 477-7850,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:00 AM,10:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,CCLC,,1,22,TRUE,TRUE,1
CCLC-1137,Herrington Day School @ Fun to Learn,"917 Bolton Road, Atlanta, GA",Child Care Learning Center,29,33.7804246,-84.4977605,Fulton,917 Bolton Road,Atlanta,GA,30331,917 Bolton Road,Atlanta,GA,30331,(404) 408-7265,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,6:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,CCLC,,22,22,TRUE,FALSE,
CCLC-1138,High Hope Child Development Center,"2732 South Central Ave., Tifton, GA",Child Care Learning Center,90,31.4368848,-83.5177029,Tift,2732 South Central Ave.,Tifton,GA,31794,P.O. Box 367,Tifton,GA,31794,(229) 387-0687,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,5:30 AM,5:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,CCLC,,22,22,TRUE,TRUE,2
CCLC-115,The Frazer Center,"1815 Ponce de Leon Avenue  NE, Atlanta, GA",Child Care Learning Center,335,33.769995,-84.327222,DeKalb,1815 Ponce de Leon Avenue  NE,Atlanta,GA,30307,1815 Ponce de Leon Avenue  NE,Atlanta,GA,30307,(404) 377-3836,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,6:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NAEYC,CCLC,,3,44,TRUE,FALSE,
CCLC-11581,Preferred School Care at B.E. Usher Elementary,"631 Harwell Road N.W., Atlanta, GA",Child Care Learning Center,50,33.772625,-84.4939772,Fulton,631 Harwell Road N.W.,Atlanta,GA,30318,1125 Annie Lane  Mableton  GA 20126,Mableton,GA,30126,(770) 739-1462,JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,2:30 PM,6:00 PM,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,CCLC,,N/A,,TRUE,TRUE,2
CCLC-11644,Visionary Learning Academy,"1735 Metropolitan Parkway, Atlanta, GA",Child Care Learning Center,99,33.7067108,-84.4086899,Fulton,1735 Metropolitan Parkway,Atlanta,GA,30315,1735 Metropolitan Parkway,Atlanta,GA,30315,(404) 752-5547,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,CCLC,,22,22,TRUE,TRUE,1
CCLC-11775,Little Caterpillars Development Center  Inc.,"141 Chase Court, Milledgeville, GA",Child Care Learning Center,237,33.098429,-83.255169,Baldwin,141 Chase Court,Milledgeville,GA,31061,141 Chase Court,Milledgeville,GA,31061,(478) 452-1800,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,CCLC,,0,44,TRUE,TRUE,1
CCLC-11822,Nip & Tuck Nursery and Kindergarten,"231 West Liberty Avenue, Lyons, GA",Child Care Learning Center,71,32.2020362,-82.325795,Toombs,231 West Liberty Avenue,Lyons,GA,30436,231 West Liberty Avenue,Lyons,GA,30436,(912) 526-6774,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,5:30 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,CCLC,,N/A,,TRUE,FALSE,
CCLC-1188,Connie's Education Station,"2418 Highway 16 West, Newnan, GA",Child Care Learning Center,132,33.435576,-84.873568,Coweta,2418 Highway 16 West,Newnan,GA,30263,2418 Highway 16 West,Newnan,GA,30263,(770) 251-1359,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,5:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,CCLC,,22,22,TRUE,FALSE,
CCLC-11886,Lillie Bea's Day Care And Learning Center  Inc,"504 W Magnolia St, Valdosta, GA",Child Care Learning Center,28,30.8335108,-83.2866794,Lowndes,504 W Magnolia St,Valdosta,GA,31601,P.O. Box 1693,Valdosta,GA,31601,(229) 630-4300,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,5:30 PM,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,CCLC,,N/A,,FALSE,FALSE,
CCLC-1193,Class Act Preschool & Childcare,"360 Old Mill Rd., Cartersville, GA",Child Care Learning Center,108,34.1505373,-84.8154449,Bartow,360 Old Mill Rd.,Cartersville,GA,30120,PO Box 2468,Cartersville,GA,30120,(770) 386-8865,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,CCLC,,22,22,TRUE,FALSE,
CCLC-11966,Puzzle House Learning Center,"111 New Dunbar Rd., Byron, GA",Child Care Learning Center,152,32.6519239,-83.753901,Peach,111 New Dunbar Rd.,Byron,GA,31008-6343,111 New Dunbar Rd.,Byron,GA,31008-6343,(478) 956-2424,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,,CCLC,,17,22,TRUE,FALSE,
CCLC-1197,R. Kirk Landon Learning Center,"1015 Tumlin Street, Atlanta, GA",Child Care Learning Center,137,33.7825082,-84.4002714,Fulton,1015 Tumlin Street,Atlanta,GA,30318,1015 Tumlin Street,Atlanta,GA,30318,(404) 249-1500,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:00 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NAEYC,CCLC,,0,22,TRUE,TRUE,2
CCLC-1200,Hinesville Child Care Learning Center,"204 Martin St., Hinesville, GA",Child Care Learning Center,99,31.853945,-81.5919859,Liberty,204 Martin St.,Hinesville,GA,31313,204 Martin St.,Hinesville,GA,31313,(912) 876-4785,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,5:30 AM,6:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NAEYC,CCLC,,22,22,TRUE,TRUE,3
CCLC-12008,Eastman Head Start,"324 Pine Street, Eastman, GA",Child Care Learning Center,72,32.1955143,-83.1779433,Dodge,324 Pine Street,Eastman,GA,31023,324 Pine Street,Eastman,GA,31023,(478) 374-4788,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,7:30 AM,3:00 PM,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,CCLC,,N/A,,TRUE,TRUE,2
CCLC-1201,Kids 'R Kids #5,"407 Springfield Drive, Woodstock, GA",Child Care Learning Center,245,34.0877264,-84.5107899,Cherokee,407 Springfield Drive,Woodstock,GA,30188,407 Springfield Dr,Woodstock,GA,30188,(770) 591-0900,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,CCLC,,14,66,TRUE,FALSE,
CCLC-1202,Kids 'R Kids #27,"3480 Pleasant Hill Road, Duluth, GA",Child Care Learning Center,272,33.9895927,-84.1605777,Gwinnett,3480 Pleasant Hill Road,Duluth,GA,30096,3480 Pleasant Hill Road,Duluth,GA,30096,(770) 813-9600,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:00 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NAEYC|SACS|GAC,CCLC,,1,44,TRUE,TRUE,2
CCLC-1203,Holly Springs Academy,"2941 Holly Springs Parkway, Canton, GA",Child Care Learning Center,69,34.1706484,-84.5025958,Cherokee,2941 Holly Springs Parkway,Canton,GA,30115,2941 Holly Springs Parkway,Canton,GA,30115,(770) 345-2882,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:30 AM,6:30 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,CCLC,,22,22,TRUE,FALSE,
CCLC-1204,Home '2' Childcare and Development Center,"706 Broad Street, Valdosta, GA",Child Care Learning Center,80,30.8401759,-83.2731578,Lowndes,706 Broad Street,Valdosta,GA,31601,706 Broad Street,Valdosta,GA,31601,(229) 244-4300,JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,6:00 AM,6:00 PM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,CCLC,,22,22,TRUE,TRUE,2
