Lat,Long,Provider ID,Name,License Type,License Status,Initial License Date ,Capacity,Address,Phone#
40.6978352,-111.9779601,27098,ABC GREAT BEGINNINGS - WEST VALLEY CITY,CENTER,REGULATED,9/29/06,131,"3424 SOUTH 3600 WEST WEST VALLEY CITY, UT 84119",(801) 969-9236
40.2271448,-111.6408499,1190,ABC KIDDY WORLD,CENTER,REGULATED,7/1/93,40,"1026 EAST 460 SOUTH PROVO, UT 84606",(801) 373-7070
40.6999925,-112.0118669,58614,"ABDI, AMBIO MOHAMED",RESIDENTIAL CERTIFICATE,REGULATED,4/11/18,8,"WEST VALLEY CITY, UT 84120",(385) 439-8719
40.6620696,-111.8866683,37014,"ABDILLAHI, HAMDI MOHAMED",LICENSED FAMILY,REGULATED,7/11/14,16,"SALT LAKE CITY, UT 84107",(385) 242-9003
40.6618507,-111.8389726,40820,"ABED, FAEZA",LICENSED FAMILY,REGULATED,1/15/15,12,"SALT LAKE CITY, UT 84117",(801) 865-1462
40.7371524,-114.0375102,28517,"ABOITE, ANA DBA KIDS ARE PEOPLE TOO!!",LICENSED FAMILY,REGULATED,4/5/10,16,"WENDOVER, UT 84083",(435) 665-0533
40.71944,-111.9265423,38244,ABOVE AND BEYOND CHILDCARE,CENTER,REGULATED,7/15/14,85,"1182 WEST 2400 SOUTH #C WEST VALLEY, UT 84119",(801) 972-1325
40.6609843,-111.9164779,50599,"ABUKAR, BADIYO","DWS APPROVED, FFN",REGULATED,10/27/16,,"SALT LAKE CITY, UT 84123",(801) 867-3972
40.6705479,-111.999567,59014,ACADEMY PARK ELEMENTARY SCHOOL FOOD SERVICES,"EXEMPT SCHOOL AGE PROGRAM, NO BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,7/26/17,,"4580 WESTPOINT DR WEST VALLEY CITY, UT 84120",(385) 646-4321
41.7415116,-111.8236195,28690,ADAMS ELEMENTARY AFTER SCHOOL CLUB,"DWS APPROVED, EXEMPT SCHOOL AGE PROGRAM",REGULATED,6/27/16,,"415 E 500 N LOGAN, UT 84321",(435) 755-2320
41.7417207,-111.8213913,53955,ADAMS SUMMER PLAYGROUND,"DWS APPROVED, EXEMPT SCHOOL AGE PROGRAM",REGULATED,6/13/17,,"550 N 500 E LOGAN, UT 84321",(435) 716-9249
40.7091121,-112.1016088,39996,"ADAN, FAHMO","DWS APPROVED, FFN",REGULATED,9/26/14,,"MAGNA, UT 84044",(385) 227-4549
40.7177351,-111.8985922,40735,"ADDI, FADUMA",LICENSED FAMILY,REGULATED,1/5/15,13,"SOUTH SALT LAKE, UT 84115",(801) 628-5629
40.8499205,-111.8996473,52499,ADELAIDE ELEMENTARY SCHOOL,"DWS APPROVED, EXEMPT SCHOOL AGE PROGRAM",REGULATED,8/16/16,,"731 W 3600 S BOUNTIFUL, UT 84010",(801) 402-1250
40.2521612,-111.6716154,16118,ADVENTURE TIME PRESCHOOL AND CHILDCARE,CENTER,REGULATED,1/24/05,174,"723 COLUMBIA LANE PROVO, UT 84604",(801) 373-2989
40.4818161,-111.9403254,14377,"AFRIDI, SHEHNAZ",LICENSED FAMILY,REGULATED,7/22/03,8,"RIVERTON, UT 84065",(801) 254-2491
37.6761682,-113.057848,28372,AFTER SCHOOL ALL STARS - EAST ELEMENTARY SCHOOL,"DWS APPROVED, EXEMPT SCHOOL AGE PROGRAM",REGULATED,3/8/17,,"225 E 70 S CEDAR CITY, UT 84720",(435) 592-5208
37.6774769,-113.0618931,42215,"AGUAYO, MARIJEAN DBA THE TREEHOUSE CHILDCARE INC",LICENSED FAMILY,REGULATED,6/30/15,16,"CEDAR CITY, UT 84720",(714) 309-4403
40.5984908,-112.0357137,50075,"AGUILAR, ALICIA DBA ALICIA'S DAYCARE",LICENSED FAMILY,REGULATED,6/8/16,8,"WEST JORDAN, UT 84081",(801) 493-5004
40.6112959,-111.8985922,59737,"AGUILAR, KAYLA","DWS APPROVED, FFN",REGULATED,11/30/17,,"MIDVALE, UT 84047",(801) 604-0043
40.6777307,-111.9477777,60095,"AHMED, ALI ADAN","DWS APPROVED, FFN",REGULATED,3/23/18,,"TAYLORSVILLE, UT 84129",(385) 495-4903
40.4818161,-111.9403254,15986,"AIELLO, PATRICIA DBA LITTLE ACRE DAYCARE",LICENSED FAMILY,REGULATED,1/26/05,16,"RIVERTON, UT 84065",(801) 948-4357
40.6110989,-111.8716465,53434,AJ'S TREEHOUSE,HOURLY CENTER,REGULATED,4/7/17,40,"7711 S 700 E SANDY, UT 84047",(801) 503-5542
40.8038325,-112.0237903,52198,"ALAGABA, DEYNABA",RESIDENTIAL CERTIFICATE,REGULATED,1/3/17,8,"SLC, UT 84116",(385) 219-0793
41.7693747,-111.8046654,58043,"ALAVEZ, KATHY LYDIA DBA KAT'S EDUCATIONAL DAYCARE",LICENSED FAMILY,REGULATED,2/27/18,16,"NORTH LOGAN, UT 84341",(760) 605-2626
41.139666,-112.0504983,38187,"ALAWNEH, DEBORAH","DWS APPROVED, FFN",REGULATED,6/30/14,,"CLINTON, UT 84015",(801) 698-4360
41.2231225,-111.9737732,65699,"ALBARRAN, GLORIA","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,8/1/18,,"OGDEN, UT 84401",(385) 405-1680
40.7091121,-112.1016088,13746,"ALCAZAR, ROSMERY","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,2/25/03,,"MAGNA, UT 84044",(801) 987-0023
41.1918886,-111.9713304,33775,"ALDOUS, SUSAN DBA LITTLE PEANUT DAYCARE",LICENSED FAMILY,REGULATED,1/2/13,15,"SOUTH OGDEN, UT 84403",(801) 814-0291
41.7369803,-111.8338359,46875,"ALI, ADAR DBA ADAR'S CHILD CARE",RESIDENTIAL CERTIFICATE,REGULATED,3/17/16,8,"LOGAN, UT 84321",(801) 759-4147
41.1107771,-112.0260538,40263,"ALI, KHADRO","DWS APPROVED, FFN",REGULATED,4/24/15,,"CLEARFIELD, UT 84015",(801) 414-9570
40.6620696,-111.8866683,1570,"ALIAGA, LUISA DBA LUISA'S FAMILY DAYCARE",LICENSED FAMILY,REGULATED,12/16/92,12,"MURRAY, UT 84107",(801) 268-2837
40.3916172,-111.8507662,38978,"ALLEN, NEAL","DWS APPROVED, FFN",REGULATED,7/29/14,,"LEHI, UT 84043",(801) 427-0075
40.114955,-111.654923,28550,"ALLEN, NYLA DBA NYLA'S HOUSE LLC",LICENSED FAMILY,REGULATED,12/22/09,16,"SPANISH FORK, UT 84660",(801) 798-1557
40.6696625,-111.8968587,3635,ALLEN'S PRESCHOOL,CENTER,REGULATED,4/1/63,60,"4708 SOUTH 200 WEST MURRAY, UT 84107",(801) 262-4382
40.633325,-111.8963541,27867,ALMOST HOME PLAYCARE,CENTER,REGULATED,5/14/08,32,"180 WEST WINCHESTER STREET MURRAY, UT 84107",(801) 262-7657
40.6645737,-111.4955235,40996,ALPINE ADVENTURERS ACADEMY,CENTER,REGULATED,3/5/15,66,"2024 SIDEWINDER DR. PARK CITY, UT 84060",(435) 640-1889
40.6643821,-111.4934403,56856,ALPINE ADVENTURERS ACADEMY II,CENTER,REGULATED,3/30/17,53,"2180 SIDEWINDER DR PARK CITY, UT 84060",(435) 640-1889
40.5774424,-111.8335055,1188,ALTA CANYON SPORTS CENTER,OUT OF SCHOOL TIME PROGRAM,REGULATED,9/1/93,137,"9565 SOUTH HIGHLAND DRIVE SANDY, UT 84092",(801) 568-4613
40.5774424,-111.8335055,7396,ALTA CANYON SPORTS HOURLY CENTER,HOURLY CENTER,REGULATED,7/21/99,30,"9565 SOUTH HIGHLAND DRIVE SANDY, UT 84092",(801) 568-4600
40.5908184,-111.6287756,59717,ALTA CHILDREN'S CENTER,HOURLY CENTER,REGULATED,11/15/17,46,"10520 E. DAY LODGE ROAD ALTA, UT 84092",(801) 742-3042
40.5501329,-111.8611437,45135,ALTA HIGH PRESCHOOL,"EXEMPT CENTER, BACKGROUND CHECKS BY CCL",REGULATED,9/4/15,,"11055 S 1000 E SANDY, UT 84094",(801) 826-5669
41.223,-111.9738304,14427,"ALVAREZ, CLAUDIA","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,8/1/03,,"OGDEN, UT 84404",(801) 645-8504
40.5623204,-111.9386203,28819,"ALVAREZ, EVELYN DBA LOVE DAYCARE, LLC",RESIDENTIAL CERTIFICATE,REGULATED,10/4/10,8,"SOUTH JORDAN, UT 84095",(801) 688-1181
40.0443989,-111.7321518,28840,"ALVEY, DEBRA",LICENSED FAMILY,REGULATED,2/1/11,16,"PAYSON, UT 84651",(801) 465-2053
40.2128559,-111.7256936,63582,"AMADOR, MARIA","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,5/23/18,,"PROVO, UT 84601",(385) 230-8332
41.2231225,-111.9737732,63114,"AMBRIZ, BLANCA","DWS APPROVED, FFN",REGULATED,6/21/18,,"OGDEN, UT 84401",(385) 298-5545
40.38883,-111.780531,45825,AMERICAN FORK HIGH SCHOOL - CAVEKIDS PRESCHOOL,"EXEMPT CENTER, BACKGROUND CHECKS BY CCL",REGULATED,10/5/15,,"510 N 600 E AMERICAN FORK, UT 84003",(801) 610-8800
40.4002607,-111.7987856,52718,AMERICAN FORK JR HIGH 4-H AFTERSCHOOL,"REGISTERED TEEN PROGRAM, NO BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,8/26/16,,"1120 N 20 W AMERICAN FORK, UT 84003",(717) 752-9633
40.7135619,-111.9283085,50598,AMERICAN PREPARATORY ACADEMY COMMUNITY LEARNING CENTERS - WV1,"DWS APPROVED, EXEMPT SCHOOL AGE PROGRAM",REGULATED,10/13/16,,"1255 W CRYSTAL AVE WEST VALLEY CITY, UT 84119",(801) 839-3613
40.70482,-111.9782389,50596,AMERICAN PREPARATORY ACADEMY COMMUNITY LEARNING CENTERS - WV2,"DWS APPROVED, EXEMPT SCHOOL AGE PROGRAM",REGULATED,10/13/16,,"3636 W 3100 S WEST VALLEY CITY, UT 84120",(385) 351-3090
40.516789,-111.8952576,50842,AMERICAN PREPARATORY ACADEMY DRAPER CHILDCARE,"EXEMPT CENTER, BACKGROUND CHECKS BY CCL",REGULATED,5/18/16,,"12892 PONY EXPRESS RD DRAPER, UT 84020",(801) 712-5832
40.70482,-111.9782389,50841,AMERICAN PREPARATORY ACADEMY WV2 CHILDCARE,"EXEMPT CENTER, BACKGROUND CHECKS BY CCL",REGULATED,5/18/16,,"3636 W 3100 S WEST VALLEY CITY, UT 84120",(801) 712-5832
40.5168537,-111.8935134,59345,AMERICAN PREPARATORY SCHOOLS,CENTER,REGULATED,2/9/18,25,"12894 S. PONY EXPRESS RD. DRAPER, UT 84020",(801) 808-3822
40.7125233,-111.9441447,43035,AMERIS ACADEMY INC,CENTER,REGULATED,9/8/15,238,"2650 S DECKER LAKE LN #2 WEST VALLEY, UT 84119",(801) 327-8776
41.223,-111.9738304,65839,"AMEZCUA, ELSA","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,8/8/18,,"OGDEN, UT 84404",(801) 686-7619
40.2128559,-111.7256936,26193,"ANAYA, DIANA",RESIDENTIAL CERTIFICATE,REGULATED,9/20/05,8,"PROVO, UT 84601",(801) 836-9699
39.3266354,-110.9646113,27635,"ANDERSON, MARCIE DBA MARCIE ANDERSON DAYCARE",LICENSED FAMILY,REGULATED,10/1/07,16,"HUNTINGTON, UT 84528",(435) 687-2364
40.3456087,-111.7197315,59584,"ANDERSON, MARISSA","DWS APPROVED, FFN",REGULATED,11/7/17,,"LINDON, UT 84042",(832) 370-8389
41.6340996,-111.8521653,42515,"ANDERSON, MARY DBA MARY'S MUNCHKINS",LICENSED FAMILY,REGULATED,7/15/15,16,"HYRUM, UT 84319",(435) 764-4904
40.8938339,-111.9018828,54075,"ANDERSON, MEGAN DBA MEGAN ANDERSON DAYCARE",LICENSED FAMILY,REGULATED,1/3/17,16,"WEST BOUNTIFUL, UT 84087",(435) 609-0088
40.3363082,-111.9880199,58598,"ANDERSON, ROXANA",LICENSED FAMILY,REGULATED,11/14/17,16,"EAGLE MOUNTAIN, UT 84005",(916) 765-7037
40.7078639,-111.8508966,1967,"ANDERSON, SHEILA",RESIDENTIAL CERTIFICATE,REGULATED,6/1/93,8,"SALT LAKE CITY, UT 84106",(801) 486-0602
39.626351,-111.4396325,56375,"ANDERSON, TARA DBA TINY SCHOLARS ACADEMY","EXEMPT HOME, NO BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,1/15/17,,"FAIRVIEW, UT 84629",(435) 262-2210
41.172722,-111.9766083,58574,"ANDERSON, TERESA","DWS APPROVED, FFN",REGULATED,7/26/17,,"WASHINGTON TERRACE, UT 84405",(385) 231-9838
40.6712875,-111.7912764,64174,"ANDREWS, JOLENE","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,6/11/18,,"SALT LAKE CITY, UT 84124",(801) 631-8568
41.8382622,-111.8327229,36574,"ANDRUS, AMBERLYNN M. DBA MONKEY'S TREEHOUSE LLC",LICENSED FAMILY,REGULATED,1/6/14,16,"SMITHFIELD, UT 84335",(435) 713-5391
41.7369803,-111.8338359,415,"ANGEL, ANGELA DBA ANGEL DAY CARE",LICENSED FAMILY,REGULATED,9/1/10,16,"LOGAN, UT 84321",(435) 753-2327
41.0871674,-112.02702,52498,ANTELOPE ELEMENTARY SCHOOL,"DWS APPROVED, EXEMPT SCHOOL AGE PROGRAM",REGULATED,8/15/16,,"1810 S MAIN CLEARFIELD, UT 84015",(801) 402-2127
41.2231225,-111.9737732,43156,"ANTHONY, LETTIE","DWS APPROVED, FFN",REGULATED,6/22/15,,"OGDEN, UT 84401",(801) 920-3550
40.8891435,-111.8912795,3696,APPLE DEVELOPMENTAL DAYCARE,CENTER,REGULATED,9/1/83,60,"455 WEST CENTER STREET BOUNTIFUL, UT 84010",(801) 298-4444
41.2971651,-112.0277203,58195,"AQUINO, GLELIY","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,6/5/18,,"FARR WEST, UT 84404",(801) 814-8897
40.3150359,-111.7018452,63581,"AQUINO, ROSA MARIA","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,5/23/18,,"OREM, UT 84057",(801) 669-7539
40.5307776,-112.29828,58235,"ARAGON, NATALIE JEAN","DWS APPROVED, FFN",REGULATED,10/13/17,,"TOOELE, UT 84074",(435) 882-1029
40.3916172,-111.8507662,28906,"ARANA, LUCIA ALEJANDRA DBA LINGOKIDS",LICENSED FAMILY,REGULATED,1/20/11,15,"LEHI, UT 84043",(801) 404-9831
40.3150359,-111.7018452,63834,"ARAUJO-BEGURIA, FELICITAS","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,6/1/18,,"OREM, UT 84057",(347) 665-6198
40.6599468,-111.9963275,63155,"ARCHIBEQUE, ALICE","DWS APPROVED, FFN",REGULATED,7/11/18,,"KEARNS, UT 84118",(801) 417-9644
40.7095135,-111.9641728,53634,"ARDADI, ELSABET",LICENSED FAMILY,REGULATED,10/28/16,15,"WEST VALLEY, UT 84119",(801) 548-4156
41.2231225,-111.9737732,26407,"AREVALO, ROSA","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,1/5/06,,"OGDEN, UT 84401",(801) 393-6483
40.5622956,-111.9998294,56194,"ARIAS, SONIA DBA BRIGHT BEGINNINGS CHILD CARE & PRESCHOOL",LICENSED FAMILY,REGULATED,2/28/18,16,"SOUTH JORDAN, UT 84009",(801) 895-5738
40.7177351,-111.8985922,14864,"ARIAS, YOLANDA DBA I CARE DAY CARE LC",LICENSED FAMILY,REGULATED,11/26/03,8,"SALT LAKE CITY, UT 84115",(801) 895-6335
40.6438307,-111.2811956,28712,ARISTOCAT CHILDREN'S ACADEMY-ON KAMAS MAIN,CENTER,REGULATED,7/27/10,68,"55 NORTH MAIN STREET KAMAS, UT 84036",(435) 654-7439
40.5158142,-111.4133125,31734,ARISTOCAT CHILDRENS ACADEMY-HEBER,CENTER,REGULATED,5/10/12,93,"575 NORTH MAIN STREET HEBER CITY, UT 84032",(435) 654-7439
40.0443989,-111.7321518,38074,"ARNOLD, LORENE","DWS APPROVED, FFN",REGULATED,7/11/14,,"PAYSON, UT 84651",(801) 888-8755
39.3596841,-111.5863052,14941,"ARNOLDSEN, JULI DBA JULI ARNOLDSEN'S DAY CARE",LICENSED FAMILY,REGULATED,1/8/04,16,"EPHRAIM, UT 84627",(435) 283-5715
40.5141147,-112.0329938,47054,"ASHBY, SHANA DBA MY CHILD CARE ACADEMY",LICENSED FAMILY,REGULATED,5/20/16,16,"HERRIMAN, UT 84096",(435) 592-1438
40.3363082,-111.9880199,65376,"ASO, MARY MALIA","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,7/18/18,,"EAGLE MOUNTAIN, UT 84005",(714) 363-8866
40.1652335,-111.6107526,61535,"ASTLE, REBECCA","DWS APPROVED, FFN",REGULATED,3/21/18,,"SPRINGVILLE, UT 84663",(707) 331-2218
41.5228536,-112.0714835,47175,"ATKINSON, CORTNEY DBA KELS KID CARE",LICENSED FAMILY,REGULATED,6/6/16,8,"BRIGHAM, UT 84302",(435) 919-8208
40.6489854,-111.8869711,3837,AUNT LORRETTA'S INFANT/CHILD-CARE,CENTER,REGULATED,1/1/87,54,"140 EAST 5600 SOUTH MURRAY, UT 84107",(801) 262-8136
40.6620696,-111.8866683,13185,"AUSTIN, CYNTHIA",LICENSED FAMILY,REGULATED,6/19/02,8,"MURRAY, UT 84107",(801) 262-0072
40.7726023,-111.8772131,13572,AVENUES PRESCHOOL,CENTER,REGULATED,12/4/02,66,"410 THIRD AVENUE SALT LAKE CITY, UT 84103",(801) 328-0328
41.172722,-111.9766083,44374,"AVILA, ALMA DBA AVILA'S DAYCARE",LICENSED FAMILY,REGULATED,9/28/15,16,"WASHINGTON TERRACE, UT 84405",(801) 941-2574
40.7095135,-111.9641728,40094,"AWAYLE, FATUMA",RESIDENTIAL CERTIFICATE,REGULATED,9/26/14,8,"WEST VALLEY CITY, UT 84119",(385) 439-9796
41.5228536,-112.0714835,54716,"AYALA, ROSA E. DBA ROSIE'S PLAYHOUSE",LICENSED FAMILY,REGULATED,3/28/17,16,"BRIGHAM CITY, UT 84302",(435) 730-0231
41.0709042,-111.9880199,46297,"BABB, ELLEN","DWS APPROVED, FFN",REGULATED,11/9/15,,"LAYTON, UT 84041",(801) 808-8804
40.507071,-111.414011,15663,BACK TO BASICS PRESCHOOL AND DAYCARE CENTER,CENTER,REGULATED,9/7/04,48,"32 SOUTH MAIN SUITE G & H HEBER CITY, UT 84032",(435) 654-3738
41.7693747,-111.8046654,27474,"BACKLUND, JULIE DBA DISCOVERY TIME",LICENSED FAMILY,REGULATED,8/2/07,16,"NORTH LOGAN, UT 84341",(435) 753-2146
40.7820026,-111.9340841,28771,BACKMAN ELEMENTARY AFTER SCHOOL PROGRAM,"DWS APPROVED, EXEMPT SCHOOL AGE PROGRAM",REGULATED,6/21/10,,"601 N 1500 W SALT LAKE CITY, UT 84116",(801) 578-8100
40.7095135,-111.9641728,40156,"BADJASSEM, BIDORA DBA L'EMMANUEL CHILD CARE",LICENSED FAMILY,REGULATED,10/28/14,8,"WEST VALLEY CITY, UT 84119",(801) 946-9721
41.7063204,-111.817165,13748,"BAER, KIMBERLY DBA LITTLE BEAR DAYCARE",LICENSED FAMILY,REGULATED,9/15/07,15,"PROVIDENCE, UT 84332",(435) 753-4258
40.3032488,-111.6750157,556,"BAILEY, CHERRANN DBA 3 BEAR DAY CARE",LICENSED FAMILY,REGULATED,11/11/96,16,"OREM, UT 84097",(801) 426-5324
41.176494,-112.0357137,57015,"BAILEY, MARGARET DBA LITTLE OWLS",LICENSED FAMILY,REGULATED,12/6/17,8,"ROY, UT 84067",(385) 770-9784
40.1652335,-111.6107526,62295,"BAKER, CANDYCE","DWS APPROVED, FFN",REGULATED,6/10/18,,"SPRINGVILLE, UT 84663",(385) 201-7275
41.5228536,-112.0714835,198,"BAKER, CHRIS DBA CHILDREN'S CORNER BRIGHAM",LICENSED FAMILY,REGULATED,10/1/83,16,"BRIGHAM CITY, UT 84302",(435) 881-3638
40.810506,-111.8449346,1790,"BAKER, LILIA DBA LILI'S DAY CARE",LICENSED FAMILY,REGULATED,12/20/78,8,"SALT LAKE CITY, UT 84103",(801) 532-2329
40.2499367,-109.2355764,44874,"BAKER, MELODY","DWS APPROVED, FFN",REGULATED,2/3/16,,"JENSEN, UT 84035",(435) 219-4291
40.3150359,-111.7018452,13387,"BALDWIN, SHARLENE DBA SHAR'S DAYCARE",RESIDENTIAL CERTIFICATE,REGULATED,9/16/02,8,"OREM, UT 84057",(801) 372-6953
40.7095135,-111.9641728,6727,"BALTODANO, MARIA DBA NELI'S DAYCARE",LICENSED FAMILY,REGULATED,5/1/04,8,"WEST VALLEY, UT 84119",(801) 949-1901
40.6688363,-111.8246557,1895,"BANKS, LOIS DBA LOIS BANKS DAY CARE",LICENSED FAMILY,REGULATED,5/14/76,12,"HOLLADAY, UT 84117",(801) 278-7894
40.6999925,-112.0118669,27168,"BANOS, ALDEGUNDA","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,11/21/06,,"WEST VALLEY CITY, UT 84120",(801) 680-4624
40.7434064,-111.9880199,65437,"BANUELOS, ROSIDELIA","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,7/19/18,,"SALT LAKE CITY, UT 84104",(801) 577-2129
40.8038325,-112.0237903,40282,"BARCELON, SHARON","DWS APPROVED, FFN",REGULATED,10/17/14,,"SALT LAKE CITY, UT 84116",(801) 908-7257
40.6599468,-111.9963275,65334,"BARFFUSON, ABIGAIL","DWS APPROVED, FFN",REGULATED,7/30/18,,"KEARNS, UT 84118",(385) 266-8147
40.6988631,-112.0416754,62955,"BARILLAS, MERCEDES TOBIAS","ALTERNATIVE CARE, BACKGROUND CHECKS BY CCL",EXEMPT ACTIVE,5/7/18,,"WEST VALLEY CITY, UT 84128",(385) 477-7587
40.5307776,-112.29828,57400,"BARKER, CANDACE","DWS APPROVED, FFN",REGULATED,7/31/17,,"TOOELE, UT 84074",(435) 849-2326
38.2769149,-112.6410518,59955,"BARLOW, LOIS E.","DWS APPROVED, FFN",REGULATED,2/15/18,,"BEAVER, UT 84713",(435) 690-9733
37.6774769,-113.0618931,62816,"BARLOW, PATRICIA","DWS APPROVED, FFN",REGULATED,7/9/18,,"CEDAR CITY, UT 84720",(435) 231-2777
40.3916172,-111.8507662,26229,"BARNES, JAMIE DBA HOME SWEET HOME CHILD CARE CORP",LICENSED FAMILY,REGULATED,11/10/05,16,"LEHI, UT 84043",(801) 472-8653
40.6609843,-111.9164779,10160,"BARNEY, MICHELLE",LICENSED FAMILY,REGULATED,10/1/01,8,"TAYLORSVILLE, UT 84123",(801) 263-9636
40.6599468,-111.9963275,15143,"BARRAZA, GRACIELA DBA GRE'S DAYCARE",LICENSED FAMILY,REGULATED,3/31/04,12,"KEARNS, UT 84118",(801) 916-9170
41.1107771,-112.0260538,5872,"BARRETT, DEBBIE DBA GRINNIN' BARRETT CHILD CARE",LICENSED FAMILY,REGULATED,12/13/01,8,"CLEARFIELD, UT 84015",(801) 825-0310
